"Easting","Northing","City","Administrative.unit","X6.29.18","X7.6.18","X7.13.18","X7.20.18","X7.27.18","X8.3.18","X8.10.18","X8.17.18","X8.24.18","X8.31.18","X9.7.18","X9.14.18","X9.21.18","X9.28.18","X10.5.18","X10.12.18","X10.19.18","X10.26.18","X11.2.18","X11.9.18","X11.16.18","X11.23.18","X11.30.18","X12.7.18","X12.14.18","X12.21.18","X12.28.18","X1.4.19","X1.11.19","X1.18.19","X1.25.19","X2.1.19","X2.8.19","X2.15.19","X2.22.19","X3.1.19","X3.8.19","X3.15.19","X3.22.19","X3.29.19","X4.5.19","X4.12.19","X4.19.19","X4.26.19","X5.3.19","X5.10.19"
509500,429500,"Kingston-upon-Hull","Kingston-upon-Hull",1.5,3.7,6,5,0.6,1.1,0.4,0,0.4,0.2,0,0,0,0,0.2,4.7,16.8,34.1,50.1,33,16.8,14.7,8.2,5.2,4.7,3.2,1.7,1.5,1.9,0.6,0.9,0.2,2.6,3,12.1,14.2,13.4,5.8,3.7,2.2,1.9,3.5,1.3,0.9,0.9,0.9
347500,461500,"Lancaster M.B.","Lancaster M.B.",0,1.3,1.3,0,0,0,0,0,0,0,0,0,1.3,1.3,0,1.3,9.2,25,28.9,25,15.8,3.9,2.6,2.6,1.3,1.3,0,0,0,0,1.3,0,0,6.6,6.6,7.9,6.6,5.3,2.6,1.3,1.3,0,0,0,1.3,0
430500,434500,"Leeds","Leeds",1.8,6.6,6.2,2.8,1.3,0.2,0.2,0.5,0.5,0.5,0.1,0.1,0.2,0.5,0.6,0.7,5.9,14,27.7,29.5,25.2,18.4,12.8,7,3.4,1,2.2,2.1,1.2,1,1.6,1.2,2.2,4.3,11.2,15.6,11.8,8.4,4.5,2.8,1.7,1.6,1.1,0.7,0.4,0.4
458500,304500,"Leicester","Leicester",0.3,1.8,6.2,7.7,1.3,0,1.3,0.3,0.5,0,0.3,0.3,0,0.3,0.3,2.3,19,52.1,66.2,34.4,16.2,4.6,4.9,4.6,2.6,2.3,0.5,0.8,0.5,0.3,0,0.3,0.5,4.4,19.3,19.8,13.9,10,3.3,1.5,2.3,0.3,0.3,0.3,0.3,1.3
365500,400500,"Leigh M.B.","Leigh M.B.",1.3,1.3,6.3,12.6,10.1,3.8,2.5,0,0,0,0,0,1.3,0,0,2.5,21.5,32.8,10.1,20.2,5.1,3.8,0,5.1,6.3,1.3,5.1,1.3,1.3,2.5,3.8,3.8,15.2,29,17.7,16.4,8.8,8.8,1.3,1.3,0,1.3,0,0,1.3,0
537500,186500,"Leyton U.D.","Leyton U.D.",1,3.4,1.4,1.4,0.5,0.5,0,0,0,0,0,0,0,0,0.5,1.9,14.5,32.8,41,32.8,12.5,9.2,5.8,4.3,2.4,3.9,1.4,0,1,0.5,0,0.5,0,6.3,8.2,13,10.1,2.4,2.4,2.4,0.5,0,1,0.5,0,0.5
497500,371500,"Lincoln","Lincoln",0,0.9,2.6,2.6,0,0,0.9,0,0,0,0,0,0,0,0,0.9,4.3,12.1,19.1,22.5,20.8,14.7,23.4,17.3,7.8,7.8,0.9,4.3,0.9,3.5,0,0,0,2.6,12.1,6.1,7.8,1.7,2.6,3.5,1.7,2.6,0.9,0,0.9,0.9
337500,391500,"Liverpool","Liverpool",0.3,1.1,3,2.2,2.3,0.9,0.2,0.2,0.1,0.4,0.1,0,0.1,1.2,2.5,9.4,16.7,15.6,13.3,8.5,5.5,4,5.3,5,4,3.2,3.5,5.2,4.1,2.4,3.2,2,5.2,11.8,13.7,14.4,11.6,5.5,3.2,2.7,1.4,1.2,0.4,0.2,0.4,0.2
323500,214500,"Llanelly M.B.","Llanelly M.B.",0,1.6,3.1,6.2,3.1,4.7,0,0,0,1.6,0,0,0,1.6,1.6,1.6,4.7,20.2,34.3,28,23.4,6.2,18.7,1.6,3.1,1.6,0,1.6,0,0,0,0,0,0,9.3,7.8,14,4.7,3.1,1.6,3.1,1.6,3.1,0,1.6,0
530500,180500,"London Boroughs","London Boroughs",1.2,3.4,3.7,2.2,1,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,1.5,6.8,20.8,35,31.8,20.9,15.3,12.1,7.9,3.5,2.2,1.3,0.9,0.8,0.6,0.5,0.9,1.6,4.9,9.6,10.9,7.8,4.7,2.8,1.6,1.4,1.2,1.1,0.6,0.5,0.4
453500,319500,"Loughborough M.B.","Loughborough M.B.",0,0,0,0,2.4,0,0,0,0,0,2.4,0,0,0,2.4,7.1,23.6,49.6,59.1,42.6,7.1,9.5,9.5,4.7,0,0,0,7.1,0,0,0,0,0,0,9.5,7.1,4.7,11.8,7.1,0,4.7,4.7,0,0,0,0
654500,292500,"Lowestoft M.B.","Lowestoft M.B.",0,0,0,0,0,0,0,1.7,1.7,0,0,0,0,0,0,1.7,0,6.9,13.8,24.2,19,20.7,15.5,5.2,6.9,0,1.7,1.7,3.5,1.7,0,1.7,0,6.9,1.7,8.6,10.4,6.9,3.5,1.7,0,0,0,0,0,0
509500,221500,"Luton M.B.","Luton M.B.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9,4.8,32.6,26.9,18.2,18.2,8.6,4.8,2.9,1,1,0,0,1.9,1,0,1,0,1.9,6.7,0,1,1.9,1.9,1,1.9,1,0,0,0
391500,373500,"Macclesfield M.B.","Macclesfield M.B.",0,0,3.5,3.5,8.8,0,3.5,0,0,0,0,0,0,0,1.8,0,0,0,0,5.3,26.4,45.8,29.9,19.4,3.5,0,0,1.8,0,0,1.8,0,0,1.8,3.5,3.5,8.8,5.3,3.5,1.8,0,1.8,1.8,0,0,0
285500,191500,"Maesteg U.D.","Maesteg U.D.",0,1.9,1.9,3.9,1.9,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,3.9,9.7,5.8,15.5,5.8,1.9,5.8,1.9,0,1.9,1.9,0,0,1.9,1.9,0,1.9,3.9,0,0,1.9,5.8,1.9,3.9,1.9,0,1.9,1.9
576500,155500,"Maidstone M.B.","Maidstone M.B.",0,0,3.4,0,1.7,0,0,1.7,0,0,0,0,0,0,0,0,1.7,0,15.3,40.9,37.5,39.2,20.4,23.9,10.2,8.5,0,0,5.1,0,0,0,1.7,5.1,11.9,22.1,6.8,0,3.4,0,1.7,1.7,0,0,0,0
383500,398500,"Manchester","Manchester",1.3,6.5,8.8,5.8,2,0.6,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.9,3.1,7.2,13.9,20.4,28.7,27.6,16.3,6.6,4.2,2.3,1.3,1.1,1.1,0.4,1.2,2.5,5.6,11.3,16.5,15.5,7.3,5.2,4.2,2.3,1.5,1.7,0.9,0.5,0.9
453500,361500,"Mansfield M.B.","Mansfield M.B.",1.3,9.4,8.1,1.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,5.4,5.4,8.1,20.2,31,43.1,22.9,5.4,2.7,2.7,1.3,1.3,2.7,1.3,1.3,1.3,2.7,4,2.7,4,4,6.7,0,0,0,0,0,0,0
635500,170500,"Margate M.B.","Margate M.B.",0,0,0,0,0,3,0,0,0,0,0,0,3,9.1,0,6.1,3,12.2,48.6,54.7,36.5,6.1,6.1,9.1,0,0,0,0,0,3,0,0,0,0,12.2,15.2,0,0,0,0,3,0,0,3,0,0
305500,206500,"Merthyr Tydfil","Merthyr Tydfil",3.6,5.1,8.7,4.3,2.9,0.7,1.4,0,1.4,0,0,0.7,0,0.7,0,0.7,0,4.3,2.2,10.1,7.2,19.5,20.9,15.2,5.8,2.9,0.7,1.7,0.7,2.2,2.9,0,1.4,0,2.2,2.9,6.5,7.2,5.1,8.7,7.2,4.3,5.8,2.9,2.2,0
451500,518500,"Middlesborough","Middlesborough",4.5,14.4,11.7,4.1,1.4,0,0,0.5,0,0.5,0.5,0,0,0,0,0.9,3.6,20.7,32,23,14.4,5.4,14.9,7.7,3.6,1.8,1.8,2.3,0.5,0.9,0.5,0,0.9,2.7,6.3,12.6,6.8,15.8,7.7,6.3,1.4,0.5,0,0.5,0,0
387500,406500,"Middleton M.B.","Middleton M.B.",0,12.3,12.3,6.1,4.1,0,0,0,0,0,0,0,0,0,0,0,6.1,2,6.1,10.2,16.4,8.2,20.5,12.3,2,6.1,2,0,0,2,2,0,4.1,6.1,12.3,12.3,12.3,6.1,0,2,2,2,0,0,0,0
528500,168500,"Mitcham U.D.","Mitcham U.D.",0,0,1.7,6.8,3.4,0,0,0,0,0,0,0,0,1.7,0,0,3.4,27.2,51,49.3,22.1,11.9,10.2,10.2,3.4,1.7,0,0,0,0,0,0,0,1.7,10.2,6.8,1.7,5.1,1.7,1.7,5.1,0,0,1.7,0,0
426500,427500,"Morley M.B.","Morley M.B.",0,7,4.7,0,2.3,2.3,0,0,0,0,0,0,0,0,0,0,11.7,23.5,9.4,14.1,7,14.1,4.7,4.7,4.7,2.3,9.4,0,2.3,0,0,0,2.3,2.3,7,9.4,11.7,2.3,2.3,0,7,0,0,0,0,2.3
304500,199500,"Mountain Ash U.D.","Mountain Ash U.D.",0,2.6,6.5,10.3,6.5,3.9,3.9,1.3,0,2.6,0,0,1.3,0,0,2.6,1.3,16.8,32.3,25.8,2.6,3.9,11.6,5.2,3.9,6.5,0,2.6,0,1.3,1.3,0,1.3,2.6,10.3,16.8,15.5,7.7,2.6,2.6,1.3,1.3,1.3,0,3.9,0
386500,437500,"Nelson M.B.","Nelson M.B.",1.5,12.2,9.1,6.1,1.5,6.1,3,0,0,0,0,0,0,0,0,3,0,4.6,1.5,6.1,12.2,6.1,18.3,7.6,1.5,3,1.5,0,0,0,0,0,1.5,4.6,19.8,10.7,19.8,7.6,4.6,3,0,0,0,0,0,0
385500,346500,"Newcastle-under-Lyme M.B.","Newcastle-under-Lyme M.B.",0,5.8,8.7,17.4,0,0,0,0,0,0,0,0,0,0,0,2.9,2.9,11.6,20.3,14.5,34.8,29,5.8,11.6,0,0,0,2.9,0,0,8.7,0,2.9,5.8,20.3,8.7,14.5,23.2,2.9,5.8,2.6,2.9,5.8,2.9,0,0
425500,564500,"Newcastle-upon-Tyne","Newcastle-upon-Tyne",1,5.9,8.8,5.5,2.2,1,0.2,0,0,0.4,0,0,0,0,0.4,0.2,0.4,2,7.3,14.9,15.1,23,19.8,13.3,7.5,2.9,2.9,1.4,1,0.8,0.4,2.9,11.2,24.1,32,16.5,11.2,5.7,4.7,2,1.8,1.6,0.6,0.6,1.2,0.8
330967,187829,"Newport (Mon.)","Newport (Mon.)",0.6,1.9,2.6,2.6,4.5,2.6,1.3,0.6,1.3,0,0,0,0,1.9,1.3,1.9,1.9,11.5,9.6,7,7,9.6,5.8,5.1,3.2,1.9,1.9,1.3,0,1.3,3.2,1.9,1.3,1.3,12.2,17.3,8.3,7.7,4.5,1.9,2.6,1.9,1.3,1.3,0,0
475500,261500,"Northampton","Northampton",0,1.3,1.3,0,0.6,1.9,0,0,0,0,0,0,0,0,1.3,2.6,11.6,34.7,36,18,9,7.1,3.9,1.9,0,1.3,4.5,0,0,0.6,0,0.6,1.3,1.9,5.1,2.6,5.8,8.4,1.3,2.6,3.2,0,1.3,0,1.9,0
623500,308500,"Norwich","Norwich",0,0.5,0,1,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,2.9,17.5,36.5,38.4,25.3,12.6,9.7,3.9,2.9,1.5,1.5,1,1,1,0.5,1.5,1.5,3.4,2.9,5.3,6.8,7.8,3.9,1.19,2.4,1.9,0,1.5,1
456500,341500,"Nottingham","Nottingham",0.2,0.9,5.5,4.4,3.3,0.9,0.7,0.2,0,0,0,0,0.2,0.2,0,0,0,2.4,13.3,27.4,46.7,50,58.2,27.9,10.4,3.3,1.5,0.7,0.4,1.1,0.2,0.4,0.7,2.4,9.7,10.4,8.4,5.5,4,1.1,1.8,1.5,1.1,0.4,1.1,0
436500,291500,"Nuneaton M.B.","Nuneaton M.B.",0,1.4,2.9,2.9,4.3,1.4,1.4,0,0,0,0,1.4,0,0,0,0,1.4,4.3,24.3,32.9,45.8,40.1,25.8,5.7,5.7,2.9,1.4,1.4,1.4,0,4.3,1.4,4.3,5.7,1.4,2.9,0,2.9,1.4,1.4,8.6,2.9,0,2.9,1.4,0
285500,176500,"Ogmore and Garw U.D.","Ogmore and Garw U.D.",0,1.9,1.9,5.6,5.6,5.6,0,0,0,0,0,0,0,0,1.9,0,1.9,0,0,0,5.6,55.9,106.1,48.4,24.2,3.7,7.4,0,0,0,0,0,0,0,0,3.7,1.9,1.9,1.9,0,3.7,0,1.9,0,0,0
398500,288500,"Oldbury U.D.","Oldbury U.D.",1.5,4.5,4.5,4.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,8.9,3,13.4,51.9,51.9,23.7,7.7,3,1.5,1.5,0,0,0,0,3,0,3,1.5,10.4,13.4,10.4,10.4,0,3,0,1.5,0,0
392500,404500,"Oldham","Oldham",1.2,10.6,16,8.2,0.8,1.6,1.2,0,0,0,0.4,0.4,0,0,0.4,0,0,0.1,12.5,26.2,34.8,23.1,18,13.7,5.1,4.3,2.3,1.6,0.4,0.4,0,0.4,0,2.7,7,11,8.2,9.8,5.5,5.1,2.3,1.2,0.4,0.8,0.4,0.8
451500,206500,"Oxford","Oxford",0,0,3.2,2.1,3.2,1.1,0,1.1,1.1,0,0,0,0,0,0,2.1,33.7,63.2,61.1,39,8.4,2.1,4.2,6.3,3.2,1.1,1.1,0,0,0,0,2.1,0,3.2,8.4,6.3,1.1,3.2,0,1.1,2.1,1.1,0,0,0,0
534500,170500,"Penge U.D.","Penge U.D.",0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,2.3,9.2,25.3,11.5,34.6,11.5,16.1,9.2,2.3,2.3,2.3,0,0,0,0,0,0,0,0,9.2,11.5,6.9,0,6.9,2.3,2.3,4.6,2.3,0,0,0
519500,299500,"Peterborough M.B.","Peterborough M.B.",0,1.5,4.4,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,4.4,25.1,25.1,32.4,13.3,7.4,0,0,1.5,1.5,0,0,0,1.5,5.9,8.8,7.4,11.8,7.4,1.5,0,4.4,0,0,0,2.9,1.5
247500,56500,"Plymouth","Plymouth",0,1.7,1.2,3.8,1.7,2.3,1.2,0.9,0.6,0,0.3,0.3,0.6,0.9,4.6,7.3,15.4,28.4,36.6,15.1,6.1,4.1,2.9,1.7,0.6,0.3,0.9,1.5,0.3,0.9,0.6,0.9,1.2,2.3,4.9,8.4,6.7,4.6,2.6,2,1.5,1.7,2,0,0.9,0.6
307500,189500,"Pontypridd U.D.","Pontypridd U.D.",0,6.4,10.2,8.9,6.4,2.5,1.3,0,0,0,0,0,0,0,0,0,0,21.7,40.8,44.6,20.4,11.5,6.4,2.5,1.3,1.3,0,1.3,1.3,1.3,0,1.3,0,1.3,2.5,3.8,6.4,5.1,2.5,1.3,1.3,0,0,0,0,0
401500,91500,"Poole M.B.","Poole M.B.",0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.3,0,8,21.3,36,24,12,4,1.3,4,1.3,6.7,0,0,0,1.3,0,1.3,1.3,1.3,2.7,1.3,4,5.3,5.3,2.7,0,1.3,1.3,0,1.3,0
465500,101500,"Portsmouth","Portsmouth",0.3,0.8,0.3,0.3,0.5,1,2.1,0,0.5,1.3,0,0,1.3,1.5,11,28.7,46.1,38.2,16.4,6.4,2.6,2.8,3.3,1.3,1.5,1.3,0.5,0.8,0.3,1.3,0.8,0.3,0.5,2.8,12.6,15.1,8.7,5.1,1.5,3.6,1.5,1.8,0.5,1.8,0.8,0
353500,429500,"Preston","Preston",2,14.3,7.4,6.9,3.4,1,1,0.5,2.5,0.5,0,0.5,0,0,0,0.5,2,2.5,8.4,10.3,15.3,24.6,29.6,28.6,13.8,8.9,5.9,1,1,0,0.5,0,1.5,6.4,12.8,11.8,12.8,12.8,6.9,3.4,1,2.5,2.5,0,0.5,0
378500,407500,"Radcliffe U.D.","Radcliffe U.D.",0,4.8,7.2,11.9,0,4.8,4.8,0,0,0,0,0,0,0,0,0,0,2.7,7.2,4.8,4.8,4.8,7.2,2.4,2.4,4.8,2.4,0,0,2.4,0,0,0,2.4,4.8,28.6,19.1,19.1,4.8,7.2,0,0,0,2.4,0,0
638500,164500,"Ramsgate M.B.","Ramsgate M.B.",0,0,5.3,2.7,0,0,0,0,0,0,0,0,0,0,2.7,0,0,2.7,10.7,26.7,24.1,10.7,21.4,16,8,2.7,2.7,0,0,0,0,0,2.7,5.3,8,18.7,2.7,2.7,5.3,0,2.7,0,0,2.7,0,0
381500,424500,"Rawtenstall M.B.","Rawtenstall M.B.",14.5,18.6,14.5,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1,2.1,6.2,8.3,16.5,6.2,4.1,4.1,0,0,0,0,0,0,4.1,6.2,14.5,10.3,6.2,2.1,12.4,6.2,2.1,0,4.1,2.1,0
471500,173500,"Reading","Reading",1.3,3.8,2.5,0.6,1.3,1.3,0.6,0,0.6,0,0,0,0,0,0,0.6,3.2,9.5,27.8,33.5,20.3,11.4,12,7.6,7.6,3.2,0,2.5,2.5,0.6,0.6,0.6,0,3.2,7.6,7.6,5.7,8.2,5.1,3.2,2.5,0.6,0,0.6,0,0.6
526500,149500,"Reigate M.B.","Reigate M.B.",0,3.9,0,0,0,2,0,0,0,0,0,0,0,0,5.9,7.9,25.6,21.7,21.7,3.9,2,3.9,2,7.9,3.9,3.9,2,2,0,0,0,0,0,0,5.9,7.9,5.9,3.9,3.9,2,0,0,2,0,0,0
297500,196500,"Rhondda U.D.","Rhondda U.D.",3.5,16.6,10.3,7.1,4.2,0.7,0.7,0.7,0.4,0.4,0,0.4,0.4,0,0.4,0,2.8,6.4,11.3,20.2,16.6,14.9,14.2,9.9,6.4,3.5,1.4,0.4,0.7,1.4,0.7,0.4,1.1,4.6,8.5,8.1,6,6.7,2.1,3.9,4.2,4.6,2.1,2.5,0.7,0.4
518500,174500,"Richmond M.B.","Richmond M.B.",0,0,3.1,0,1.6,0,0,0,0,0,0,1.6,0,0,0,1.6,7.8,10.9,34.2,12.4,15.6,21.8,9.3,7.8,3.1,3.1,1.6,0,1.6,1.6,0,0,1.6,4.7,7.8,14,0,6.2,4.7,1.6,0,0,1.6,0,0,0
389500,413500,"Rochdale","Rochdale",3.8,17.2,22.3,7,4.5,1.9,0,1.3,0.6,0,1.3,0,0,0,0,0.6,0.6,1.9,2.6,5.1,7.7,39,39,27.5,10.9,3.8,3.2,3.2,0.6,0.6,0.6,0,3.2,1.3,7.7,9.6,5.7,7.7,4.5,3.8,1.3,0.6,0.6,1.6,0,0
572500,168500,"Rochester M.B.","Rochester M.B.",0,0,1.8,0,1.8,0,0,1.8,0,0,0,1.8,0,0,0,0,3.7,20.3,51.6,40.5,29.5,23.9,11,9.2,1.8,1.8,1.8,3.7,0,0,1.8,0,0,5.5,18.4,9.2,27.6,9.2,5.5,0,1.8,1.8,0,0,0,0
443500,392500,"Rotherham","Rotherham",2.4,4,5.7,1.6,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,8.1,31.6,42.9,60.7,42.9,19.4,9.7,6.5,3.2,0.8,0,0.8,0,0,0.8,1.6,3.2,7.3,13,13,15.4,3.2,3.2,1.6,0.8,1.6,1.6,0,0.8
396500,287500,"Rowley Regis U.D.","Rowley Regis U.D.",4.4,11.6,7.3,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,5.8,16,14.5,27.6,27.6,34.8,18.9,7.3,2.9,2.9,0,0,0,0,0,2.9,16,46.4,29,13.1,8.7,5.8,4.4,0,1.5,1.5,1.5,1.5,0
431500,265500,"Royal Leamington Spa M.B.","Royal Leamington Spa M.B.",0,0,0,1.9,1.9,0,0,0,1.9,0,0,0,0,0,0,0,0,5.7,19,39.9,43.7,43.7,9.5,17.1,3.8,0,1.9,0,0,0,3.8,1.9,1.9,3.8,0,5.7,1.9,1.9,1.9,1.9,0,0,0,0,0,0
558500,139500,"Royal Tunbridge Wells M.B.","Royal Tunbridge Wells M.B.",1.6,0,1.6,1.6,0,0,0,1.6,0,0,0,0,0,0,0,0,14.5,33.9,51.7,14.5,9.7,14.5,9.7,3.2,3.2,1.6,0,0,1.6,0,0,3.2,1.6,0,9.7,6.5,4.8,3.2,3.2,3.2,1.6,0,1.6,3.2,0,1.6
450500,275500,"Rugby U.D.","Rugby U.D.",0,4.6,6.9,0,2.3,0,0,0,0,0,0,0,0,0,0,0,18.4,23,57.5,34.5,27.6,13.8,6.9,2.3,6.9,2.3,2.3,0,0,0,0,0,0,4.6,18.4,20.7,16.1,0,2.3,0,2.3,0,0,0,0,0
380500,398500,"Salford","Salford",2.7,12.7,9.5,6,1,1.7,0.7,0.2,0.2,0.7,0,0.2,0,0,0.2,0,1.2,2.2,8,13.5,19.7,23.2,16.4,8.7,6,4,1,0.7,0.5,0,0.5,0.5,1.2,4,16.4,26.4,28.4,14.2,5.2,3.2,2,2.2,0.7,0.2,0.7,0.2
414500,130500,"Salisbury M.B.","Salisbury M.B.",0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,5,5,7.6,20.2,30.2,7.6,2.5,5,10.1,5,5,0,5,0,0,0,0,2.5,2.5,0,10.1,5,7.6,0,7.6,0,7.6,2.5,0,0,0
503500,488500,"Scarborough M.B.","Scarborough M.B.",0,5.4,7.2,1.8,1.8,0,0,0,0,0,0,1.8,0,0,0,0,1.8,3.6,5.4,19.7,19.7,21.5,18,19.7,16.2,7.2,1.8,1.8,0,1.8,0,0,3.6,3.6,0,9,12.6,1.8,3.6,0,1.8,0,0,0,0,0
435500,387500,"Sheffield","Sheffield",1.7,6.3,7.6,3.7,1.7,0.6,0.4,0.2,0,0.1,0.3,0.3,0.2,0.4,0.1,1.7,9.4,30.7,53.5,42.6,25.9,18.7,18,9,3.3,2.1,2,1.1,1,0.6,0.7,0.9,1.6,2.7,6.3,8.9,7.5,6.1,3.7,3.1,3.5,2,1.9,1.7,0.8,0.6
